_id,name,email,age,team,createdAt,updatedAt,image,__v
"60716790e7ea327a1bf8eb36","priyesh","priyeshppppandey@gmail.com",24,"MI","2021-04-10T08:53:36.827Z","2021-04-10T08:53:36.827Z","https://cdn.insidesport.co/wp-content/uploads/2021/02/17144436/MI-1.jpg",""
"60716790e7ea327a1bf8eb35","uttam","uttampandiiiit@gmail.com",30,"CSK","2021-04-10T08:53:36.822Z","2021-04-10T08:53:36.822Z","https://wallpapercave.com/wp/wp2496943.jpg",""
"607167e8e36b3e7ec049d60e","kaushal","kaushalssssharma@gmail.com",20,"RR","2021-04-10T08:55:04.884Z","2021-04-10T08:55:04.884Z","https://cdn.wionews.com/sites/default/files/styles/story_page/public/2018/09/12/39784-untitled%25252520design-15-20180128052841.jpg?itok=WjYncz3d",""
"607168d6e36b3e7ec049d610","priyesh","pp@yop.com",20,"DC","2021-04-10T08:59:02.922Z","2021-04-10T08:59:02.922Z","https://newsd.in/wp-content/uploads/2019/02/Delhi-Capitals-1024x576.jpg",""
"607168d7e36b3e7ec049d612","priyesh","priyeshpandey@gmail.com",24,"MI","2021-04-10T08:59:03.177Z","2021-04-10T08:59:03.177Z","https://cdn.insidesport.co/wp-content/uploads/2021/02/17144436/MI-1.jpg",""
"607168d6e36b3e7ec049d611","priyesh","priyesh@yopmail.com",20,"MI","2021-04-10T08:59:02.936Z","2021-04-10T08:59:02.936Z","https://cdn.insidesport.co/wp-content/uploads/2021/02/17144436/MI-1.jpg",""
"607168d7e36b3e7ec049d613","sagarnext","sagarnext@yopmail.com",20,"KKR","2021-04-10T08:59:03.184Z","2021-04-10T08:59:03.184Z","https://cdn.insidesport.co/wp-content/uploads/2021/02/18132236/KKR.png",""
"607168d7e36b3e7ec049d614","petros","petrous@yopmail.com",25,"CSK","2021-04-10T08:59:03.202Z","2021-04-10T08:59:03.202Z","https://wallpapercave.com/wp/wp2496943.jpg",""
"607168d7e36b3e7ec049d615","react","react@yopmail.com",22,"DC","2021-04-10T08:59:03.210Z","2021-04-10T08:59:03.210Z","https://newsd.in/wp-content/uploads/2019/02/Delhi-Capitals-1024x576.jpg",""
"607168d7e36b3e7ec049d616","dfd","yop@gm.com",12,"SRH","2021-04-10T08:59:03.214Z","2021-04-10T08:59:03.214Z","https://static.india.com/wp-content/uploads/2018/01/sun-1.jpg",""
"607168d7e36b3e7ec049d617","priyesh","pp@yopmail.com",22,"DC","2021-04-10T08:59:03.443Z","2021-04-10T08:59:03.443Z","https://newsd.in/wp-content/uploads/2019/02/Delhi-Capitals-1024x576.jpg",""
