_id,name,email,age,team,createdAt,updatedAt,image,__v
"606d441893afd24b8cfddf27","priyesh","mila@yooooopmail.com",20,"MI","2021-04-07T05:33:12.625Z","2021-04-07T05:33:12.625Z","https://wallpapercave.com/wp/wp4128487.jpg",""
"606d44d893afd24b8cfddf29","priyesh","pp@yop.com",20,"DC","2021-04-07T05:36:24.329Z","2021-04-07T05:36:24.329Z","https://wallpapercave.com/wp/wp4128487.jpg",""
"606d45137dd6834d32b773d8","priyesh","priyeshpandey@gmail.com",24,"MI","2021-04-07T05:37:23.223Z","2021-04-07T05:37:23.223Z","https://wallpapercave.com/wp/wp4128487.jpg",""
"606da6dccf6c17277f004d0f","sagarnext","sagarnext@yopmail.com",20,"KKR","2021-04-07T12:34:36.115Z","2021-04-07T12:34:36.115Z","https://wallpapercave.com/wp/wp4128487.jpg",""
"606da6dccf6c17277f004d10","petros","petrous@yopmail.com",25,"CSK","2021-04-07T12:34:36.116Z","2021-04-07T12:34:36.116Z","https://wallpapercave.com/wp/wp4128487.jpg",""
"606da6dccf6c17277f004d11","react","react@yopmail.com",22,"DC","2021-04-07T12:34:36.116Z","2021-04-07T12:34:36.116Z","https://wallpapercave.com/wp/wp4128487.jpg",""
"606c538ee3cc5079727ad03d","dfd","yop@gm.com",12,"SRH","2021-04-06T12:26:54.927Z","2021-04-06T12:26:54.927Z","https://wallpapercave.com/wp/wp4128487.jpg",""
"606c2948d099765e6014de79","priyesh","pp@yopmail.com",22,"DC","2021-04-06T09:26:32.170Z","2021-04-06T09:26:32.170Z","https://wallpapercave.com/wp/wp4128487.jpg",""
"606c53a7e3cc5079727ad03f","anshita","anshita@yopmail.com",24,"PK","2021-04-06T12:27:19.230Z","2021-04-06T12:27:19.230Z","https://wallpapercave.com/wp/wp4128487.jpg",""
"mohit","mohit@yopmail.com",24,"PK","2021-04-06T12:27:19.230Z","2021-04-06T12:27:19.230Z","https://wallpapercave.com/wp/wp4128487.jpg",""
